yearpublished,count
1901.0,7
1902.0,9
1903.0,18
1904.0,20
1905.0,17
1906.0,11
1907.0,9
1908.0,11
1909.0,17
1910.0,59
1911.0,12
1912.0,15
1913.0,10
1914.0,12
1915.0,23
1916.0,8
1917.0,5
1918.0,12
1919.0,5
1920.0,89
1921.0,11
1922.0,16
1923.0,13
1924.0,11
1925.0,54
1926.0,27
1927.0,28
1928.0,24
1929.0,23
1930.0,166
1931.0,17
1932.0,39
1933.0,47
1934.0,28
1935.0,127
1936.0,52
1937.0,68
1938.0,93
1939.0,76
1940.0,130
1941.0,57
1942.0,61
1943.0,44
1944.0,24
1945.0,30
1946.0,31
1947.0,46
1948.0,46
1949.0,43
1950.0,154
1951.0,32
1952.0,68
1953.0,65
1954.0,84
1955.0,179
1956.0,120
1957.0,85
1958.0,85
1959.0,134
1960.0,203
1961.0,131
1962.0,152
1963.0,159
1964.0,175
1965.0,210
1966.0,165
1967.0,201
1968.0,204
1969.0,289
1970.0,324
1971.0,244
1972.0,328
1973.0,381
1974.0,373
1975.0,552
1976.0,464
1977.0,526
1978.0,493
1979.0,528
1980.0,551
1981.0,612
1982.0,572
1983.0,693
1984.0,743
1985.0,838
1986.0,885
1987.0,874
1988.0,778
1989.0,837
1990.0,875
1991.0,832
1992.0,912
1993.0,855
1994.0,886
1995.0,982
1996.0,906
1997.0,961
1998.0,1128
1999.0,1206
2000.0,1341
2001.0,1459
2002.0,1723
2003.0,1871
2004.0,2246
2005.0,2734
2006.0,2677
2007.0,2854
2008.0,2958
2009.0,3324
2010.0,3345
2011.0,3590
2012.0,3826
2013.0,4021
2014.0,4647
2015.0,3873
2016.0,299
2017.0,14
2018.0,3
